home,vis,home_score,vis_score,quarter,time,home_mline,vis_mline,date
PHI,BKN,,,,,-170,150,2022-03-10
DEN,GS,,,,,110,-130,2022-03-10
PHI,BKN,,,,,-165,135,2022-03-10
PHI,BKN,0,0,1,11:56,-160,130,2022-03-10
PHI,BKN,0,2,1,11:19,-155,125,2022-03-10
PHI,BKN,2,2,1,10:54,-165,135,2022-03-10
PHI,BKN,2,2,1,10:34,-170,140,2022-03-10
PHI,BKN,2,2,1,10:26,-170,140,2022-03-10
PHI,BKN,2,4,1,10:07,-145,115,2022-03-10
PHI,BKN,2,4,1,9:52,-140,110,2022-03-10
PHI,BKN,4,7,1,9:20,-140,110,2022-03-10
PHI,BKN,4,9,1,8:56,-130,100,2022-03-10
PHI,BKN,4,11,1,8:35,-130,100,2022-03-10
PHI,BKN,4,11,1,8:21,-140,110,2022-03-10
PHI,BKN,5,11,1,8:13,-135,105,2022-03-10
PHI,BKN,7,13,1,7:39,-140,110,2022-03-10
PHI,BKN,7,13,1,7:25,-140,110,2022-03-10
PHI,BKN,8,13,1,7:25,-150,120,2022-03-10
PHI,BKN,11,16,1,6:57,-140,110,2022-03-10
PHI,BKN,11,16,1,6:49,-130,100,2022-03-10
PHI,BKN,11,16,1,6:49,-125,-105,2022-03-10
PHI,BKN,11,16,1,6:45,-160,130,2022-03-10
PHI,BKN,13,19,1,6:16,-140,110,2022-03-10
PHI,BKN,13,19,1,5:58,-135,105,2022-03-10
PHI,BKN,13,20,1,5:50,-120,-110,2022-03-10
PHI,BKN,13,22,1,5:26,-125,-105,2022-03-10
PHI,BKN,14,22,1,5:26,-115,-115,2022-03-10
PHI,BKN,15,22,1,5:13,-120,-110,2022-03-10
PHI,BKN,15,24,1,5:10,-120,-110,2022-03-10
PHI,BKN,15,26,1,4:52,110,-140,2022-03-10
PHI,BKN,15,26,1,4:52,-105,-125,2022-03-10
PHI,BKN,15,26,1,4:52,-110,-120,2022-03-10
PHI,BKN,15,26,1,4:52,100,-130,2022-03-10
PHI,BKN,15,26,1,4:45,100,-130,2022-03-10
PHI,BKN,15,26,1,4:34,100,-130,2022-03-10
PHI,BKN,17,26,1,4:30,100,-130,2022-03-10
PHI,BKN,17,26,1,3:51,-120,-110,2022-03-10
PHI,BKN,17,26,1,3:51,-125,-105,2022-03-10
PHI,BKN,18,26,1,3:51,-120,-110,2022-03-10
PHI,BKN,20,26,1,3:25,-145,115,2022-03-10
PHI,BKN,20,26,1,3:25,-140,110,2022-03-10
PHI,BKN,21,26,1,3:18,-140,110,2022-03-10
PHI,BKN,21,28,1,2:37,-120,-110,2022-03-10
PHI,BKN,21,30,1,2:07,100,-130,2022-03-10
PHI,BKN,21,33,1,1:37,130,-160,2022-03-10
PHI,BKN,21,33,1,1:11,120,-150,2022-03-10
PHI,BKN,21,33,1,1:11,110,-140,2022-03-10
PHI,BKN,22,33,1,1:11,120,-150,2022-03-10
PHI,BKN,23,33,1,1:04,125,-155,2022-03-10
PHI,BKN,23,35,1,0:33,140,-170,2022-03-10
PHI,BKN,23,35,1,0:30,140,-170,2022-03-10
PHI,BKN,23,40,2,12:00,250,-350,2022-03-10
PHI,BKN,23,40,2,12:00,240,-330,2022-03-10
PHI,BKN,23,40,2,11:57,240,-330,2022-03-10
PHI,BKN,25,43,2,11:23,260,-370,2022-03-10
DEN,GS,,,,,115,-135,2022-03-10
PHI,BKN,25,43,2,11:08,260,-370,2022-03-10
PHI,BKN,25,45,2,11:00,400,-625,2022-03-10
PHI,BKN,25,45,2,10:48,375,-575,2022-03-10
PHI,BKN,25,45,2,10:21,375,-575,2022-03-10
PHI,BKN,27,47,2,9:58,360,-550,2022-03-10
PHI,BKN,29,47,2,9:27,290,-420,2022-03-10
PHI,BKN,29,47,2,9:02,300,-435,2022-03-10
PHI,BKN,32,47,2,8:33,250,-350,2022-03-10
PHI,BKN,32,47,2,8:12,220,-300,2022-03-10
PHI,BKN,32,47,2,7:55,240,-330,2022-03-10
PHI,BKN,32,47,2,7:46,190,-255,2022-03-10
